course_number,course_title,credit_hours,major
IE 330,Industrial Quality Control,3,"Computer Engineering, BS"
IE 360,Facilities Planning and Design,3,"Computer Engineering, BS"
IE 361,Production Planning & Control,3,"Computer Engineering, BS"
IE 400,Design & Anlys of Experiments,34,"Computer Engineering, BS"
IE 410,Advanced Topics in Stochastic Processes & Applications,34,"Computer Engineering, BS"
IE 411,Optimization of Large Systems,34,"Computer Engineering, BS"
IE 412,OR Models for Mfg Systems,34,"Computer Engineering, BS"
IE 413,Simulation,34,"Computer Engineering, BS"
IE 420,Financial Engineering,34,"Computer Engineering, BS"
IE 430,Economic Found of Quality Syst,34,"Computer Engineering, BS"
IE 431,Design for Six Sigma,3,"Computer Engineering, BS"
IB 150,Organismal & Evolutionary Biol,4,"Computer Engineering, BS"
IB 202,Physiology,34,"Computer Engineering, BS"
IB 203,Ecology,4,"Computer Engineering, BS"
IB 204,Genetics,34,"Computer Engineering, BS"
IB 302,Evolution,4,"Computer Engineering, BS"
IB 348,Fish and Wildlife Ecology,3,"Computer Engineering, BS"
IB 368,Vertebrate Natural History,4,"Computer Engineering, BS"
IB 401,Introduction to Entomology,34,"Computer Engineering, BS"
IB 405,Evolution of Traits and Genomes,3,"Computer Engineering, BS"
IB 420,Plant Physiology,3,"Computer Engineering, BS"
IB 421,Photosynthesis,3,"Computer Engineering, BS"
IB 426,Env and Evol Physl of Animals,3,"Computer Engineering, BS"
IB 431,Behavioral Ecology,3,"Computer Engineering, BS"
IB 432,Genes and Behavior,3,"Computer Engineering, BS"
IB 440,Plants and Global Change,3,"Computer Engineering, BS"
IB 444,Insect Ecology,34,"Computer Engineering, BS"
IB 451,Conservation Biology,4,"Computer Engineering, BS"
IB 452,Ecosystem Ecology,3,"Computer Engineering, BS"
IB 453,Community Ecology,3,"Computer Engineering, BS"
IB 461,Ornithology,4,"Computer Engineering, BS"
IB 462,Mammalogy,4,"Computer Engineering, BS"
IB 463,Ichthyology,4,"Computer Engineering, BS"
IB 464,Herpetology,4,"Computer Engineering, BS"
IB 467,Principles of Systematics,4,"Computer Engineering, BS"
IB 468,Insect Classification and Evol,4,"Computer Engineering, BS"
IB 471,Fungal Diversity and Ecology,4,"Computer Engineering, BS"
IB 481,Vector-borne Diseases,4,"Computer Engineering, BS"
IB 482,Insect Pest Management,3,"Computer Engineering, BS"
LING 300,Anat & Physiol Spch Mechanism,4,"Computer Engineering, BS"
LING 406,Introduction to Computational Linguistics,34,"Computer Engineering, BS"
LING 407,Logic and Linguistic Analysis,34,"Computer Engineering, BS"
LING 427,Language and the Brain,34,"Computer Engineering, BS"
MSE 280,Engineering Materials,3,"Computer Engineering, BS"
MATH 347,Fundamental Mathematics,3,"Computer Engineering, BS"
MATH 357,Numerical Methods I,3,"Computer Engineering, BS"
MATH 402,Non Euclidean Geometry,34,"Computer Engineering, BS"
MATH 403,Euclidean Geometry,34,"Computer Engineering, BS"
MATH 412,Graph Theory,34,"Computer Engineering, BS"
MATH 413,Intro to Combinatorics,34,"Computer Engineering, BS"
MATH 414,Mathematical Logic,34,"Computer Engineering, BS"
MATH 417,Intro to Abstract Algebra,34,"Computer Engineering, BS"
MATH 418,Intro to Abstract Algebra II,34,"Computer Engineering, BS"
MATH 423,Differential Geometry,34,"Computer Engineering, BS"
MATH 424,Honors Real Analysis,3,"Computer Engineering, BS"
MATH 425,Honors Advanced Analysis,3,"Computer Engineering, BS"
MATH 427,Honors Abstract Algebra,3,"Computer Engineering, BS"
MATH 428,Honors Topics in Mathematics,3,"Computer Engineering, BS"
MATH 432,Set Theory and Topology,34,"Computer Engineering, BS"
MATH 442,Intro Partial Diff Equations,34,"Computer Engineering, BS"
MATH 444,Elementary Real Analysis,34,"Computer Engineering, BS"
MATH 446,Applied Complex Variables,34,"Computer Engineering, BS"
MATH 447,Real Variables,34,"Computer Engineering, BS"
MATH 448,Complex Variables,34,"Computer Engineering, BS"
MATH 450,Numerical Analysis,34,"Computer Engineering, BS"
MATH 453,Number Theory,34,"Computer Engineering, BS"
MATH 473,Algorithms,4,"Computer Engineering, BS"
MATH 475,Formal Models of Computation,34,"Computer Engineering, BS"
MATH 481,Vector and Tensor Analysis,34,"Computer Engineering, BS"
MATH 482,Linear Programming,34,"Computer Engineering, BS"
MATH 484,Nonlinear Programming,34,"Computer Engineering, BS"
MATH 487,Advanced Engineering Math,34,"Computer Engineering, BS"
MATH 489,Dynamics & Differential Eqns,34,"Computer Engineering, BS"
MCB 150,Molec & Cellular Basis of Life,4,"Computer Engineering, BS"
MCB 250,Molecular Genetics,3,"Computer Engineering, BS"
MCB 251,Exp Techniqs in Molecular Biol,2,"Computer Engineering, BS"
MCB 252,"Cells, Tissues & Development",3,"Computer Engineering, BS"
MCB 253,Exp Techniqs in Cellular Biol,2,"Computer Engineering, BS"
MCB 300,Microbiology,3,"Computer Engineering, BS"
MCB 301,Experimental Microbiology,3,"Computer Engineering, BS"
MCB 314,Introduction to Neurobiology,3,"Computer Engineering, BS"
MCB 316,Genetics and Disease,4,"Computer Engineering, BS"
MCB 354,Biochem & Phys Basis of Life,3,"Computer Engineering, BS"
MCB 400,Cancer Cell Biology,3,"Computer Engineering, BS"
MCB 401,Cellular Physiology,3,"Computer Engineering, BS"
MCB 402,Sys & Integrative Physiology,3,"Computer Engineering, BS"
MCB 406,Gene Expression & Regulation,3,"Computer Engineering, BS"
MCB 408,Immunology,3,"Computer Engineering, BS"
MCB 410,"Developmental Biology, Stem Cells and Regenerative Medicine",3,"Computer Engineering, BS"
MCB 413,Endocrinology,3,"Computer Engineering, BS"
MCB 419,"Brain, Behavior & Info Process",3,"Computer Engineering, BS"
MCB 421,Microbial Genetics,3,"Computer Engineering, BS"
MCB 424,Microbial Biochemistry,3,"Computer Engineering, BS"
MCB 426,Bacterial Pathogenesis,3,"Computer Engineering, BS"
MCB 430,Molecular Microbiology,3,"Computer Engineering, BS"
MCB 431,Microbial Physiology,3,"Computer Engineering, BS"
MCB 433,Virology & Viral Pathogenesis,3,"Computer Engineering, BS"
MCB 435,Evolution of Infectious Disease,3,"Computer Engineering, BS"
MCB 446,Physical Biochemistry,3,"Computer Engineering, BS"
MCB 480,Eukaryotic Cell Signaling,3,"Computer Engineering, BS"
ME 200,Thermodynamics,3,"Computer Engineering, BS"
ME 310,Fundamentals of Fluid Dynamics,4,"Computer Engineering, BS"
ME 320,Heat Transfer,4,"Computer Engineering, BS"
ME 330,Engineering Materials,4,"Computer Engineering, BS"
ME 340,Dynamics of Mechanical Systems,3.5,"Computer Engineering, BS"
ME 370,Mechanical Design I,3,"Computer Engineering, BS"
ME 371,Mechanical Design II,3,"Computer Engineering, BS"
ME 400,Energy Conversion Systems,34,"Computer Engineering, BS"
ME 401,Refrigeration and Cryogenics,34,"Computer Engineering, BS"
ME 402,Design of Thermal Systems,34,"Computer Engineering, BS"
ME 403,Internal Combustion Engines,34,"Computer Engineering, BS"
ME 404,Intermediate Thermodynamics,4,"Computer Engineering, BS"
ME 410,Intermediate Gas Dynamics,34,"Computer Engineering, BS"
ME 411,Viscous Flow & Heat Transfer,4,"Computer Engineering, BS"
ME 412,Numerical Thermo-Fluid Mechs,24,"Computer Engineering, BS"
ME 420,Intermediate Heat Transfer,4,"Computer Engineering, BS"
ME 430,Failure of Engrg Materials,34,"Computer Engineering, BS"
ME 431,Mechanical Component Failure,34,"Computer Engineering, BS"
ME 440,Kinem & Dynamics of Mech Syst,34,"Computer Engineering, BS"
ME 445,Introduction to Robotics,4,"Computer Engineering, BS"
ME 451,Computer-Aided Mfg Systems,34,"Computer Engineering, BS"
ME 452,Num Control of Mfg Processes,34,"Computer Engineering, BS"
ME 460,Industrial Control Systems,4,"Computer Engineering, BS"
ME 461,Computer Cntrl of Mech Systems,34,"Computer Engineering, BS"
ME 471,Finite Element Analysis,34,"Computer Engineering, BS"
ME 472,Introduction to Tribology,34,"Computer Engineering, BS"
ME 487,MEMS-NEMS Theory & Fabrication,4,"Computer Engineering, BS"
MUS 407,Elect Music Techniques I,3,"Computer Engineering, BS"
MUS 409,Elec Music Techniques II,2,"Computer Engineering, BS"
NEUR 453,Cog Neuroscience of Vision,34,"Computer Engineering, BS"
NPRE 201,Energy Systems,23,"Computer Engineering, BS"
NPRE 247,Modeling Nuclear Energy System,3,"Computer Engineering, BS"
NPRE 330,Materials in Nuclear Engineering,3,"Computer Engineering, BS"
NPRE 402,Nuclear Power Engineering,34,"Computer Engineering, BS"
NPRE 412,Nuclear Power Econ & Fuel Mgmt,34,"Computer Engineering, BS"
NPRE 421,Plasma and Fusion Science,3,"Computer Engineering, BS"
NPRE 423,Plasma Laboratory,2,"Computer Engineering, BS"
NPRE 429,Plasma Engineering,3,"Computer Engineering, BS"
NPRE 432,Nuclear Engrg Materials Lab,2,"Computer Engineering, BS"
NPRE 435,Radiological Imaging,3,"Computer Engineering, BS"
NPRE 441,Radiation Protection,4,"Computer Engineering, BS"
NPRE 442,Radioactive Waste Management,3,"Computer Engineering, BS"
NPRE 448,Nuclear Syst Engrg & Design,4,"Computer Engineering, BS"
NPRE 451,NPRE Laboratory,3,"Computer Engineering, BS"
NPRE 455,Neutron Diffusion & Transport,4,"Computer Engineering, BS"
NPRE 457,Safety Anlys Nucl Reactor Syst,34,"Computer Engineering, BS"
NPRE 458,Design in NPRE,4,"Computer Engineering, BS"
NPRE 470,Fuel Cells & Hydrogen Sources,3,"Computer Engineering, BS"
NPRE 475,Wind Power Systems,34,"Computer Engineering, BS"
PHYS 225,Relativity & Math Applications,2,"Computer Engineering, BS"
PHYS 325,Classical Mechanics I,3,"Computer Engineering, BS"
PHYS 326,Classical Mechanics II,3,"Computer Engineering, BS"
PHYS 401,Classical Physics Lab,3,"Computer Engineering, BS"
PHYS 402,Light,34,"Computer Engineering, BS"
PHYS 403,Modern Experimental Physics,45,"Computer Engineering, BS"
PHYS 406,Acoustical Physics of Music,4,"Computer Engineering, BS"
PHYS 419,"Space, Time, and Matter-ACP",34,"Computer Engineering, BS"
PHYS 420,"Space, Time, and Matter",2,"Computer Engineering, BS"
PHYS 427,Thermal & Statistical Physics,4,"Computer Engineering, BS"
PHYS 460,Condensed Matter Physics,4,"Computer Engineering, BS"
PHYS 466,Atomic Scale Simulations,34,"Computer Engineering, BS"
PHYS 470,Subatomic Physics,4,"Computer Engineering, BS"
PHYS 485,Atomic Phys & Quantum Theory,3,"Computer Engineering, BS"
PHYS 486,Quantum Physics I,4,"Computer Engineering, BS"
PHYS 487,Quantum Physics II,4,"Computer Engineering, BS"
PSYC 204,Intro to Brain and Cognition,3,"Computer Engineering, BS"
SHS 200,General Phonetics,3,"Computer Engineering, BS"
SHS 240,Intro Sound & Hearing Science,3,"Computer Engineering, BS"
SHS 300,Anat & Physiol Spch Mechanism,4,"Computer Engineering, BS"
SHS 301,General Speech Science,4,"Computer Engineering, BS"
SHS 320,Development of Spoken Language,3,"Computer Engineering, BS"
SHS 450,Intro Audiol & Hear Disorders,4,"Computer Engineering, BS"
SHS 470,Neural Bases Spch Lang,3,"Computer Engineering, BS"
STAT 420,Methods of Applied Statistics,34,"Computer Engineering, BS"
STAT 424,Design of Experiments,34,"Computer Engineering, BS"
STAT 425,Statistical Modeling I,34,"Computer Engineering, BS"
STAT 428,Statistical Computing,34,"Computer Engineering, BS"
STAT 429,Time Series Analysis,34,"Computer Engineering, BS"
STAT 440,Statistical Data Management,34,"Computer Engineering, BS"
SE 411,Reliability Engineering,34,"Computer Engineering, BS"
SE 420,Digital Control Systems,4,"Computer Engineering, BS"
SE 423,Mechatronics,3,"Computer Engineering, BS"
SE 424,State Space Design for Control,3,"Computer Engineering, BS"
TAM 211,Statics,3,"Computer Engineering, BS"
TAM 212,Introductory Dynamics,3,"Computer Engineering, BS"
TAM 251,Introductory Solid Mechanics,3,"Computer Engineering, BS"
TAM 324,Behavior of Materials,4,"Computer Engineering, BS"
TAM 335,Introductory Fluid Mechanics,4,"Computer Engineering, BS"
TAM 412,Intermediate Dynamics,4,"Computer Engineering, BS"
TAM 435,Intermediate Fluid Mechanics,4,"Computer Engineering, BS"
TAM 445,Continuum Mechanics,4,"Computer Engineering, BS"
TAM 451,Intermediate Solid Mechanics,4,"Computer Engineering, BS"
ECE 310,Digital Signal Processing,3,"Computer Engineering, BS"
ECE 330,Power Ckts & Electromechanics,3,"Computer Engineering, BS"
ECE 329,Fields and Waves I,3,"Computer Engineering, BS"
ECE 340,Semiconductor Electronics,3,"Computer Engineering, BS"
ECE 461,Digital Communications,3,"Computer Engineering, BS"
ECE 486,Control Systems,4,"Computer Engineering, BS"
CS 357,Numerical Methods I,3,"Computer Engineering, BS"
CS 411,Database Systems,34,"Computer Engineering, BS"
CS 412,Introduction to Data Mining,34,"Computer Engineering, BS"
CS 414,Multimedia Systems,34,"Computer Engineering, BS"
CS 418,Interactive Computer Graphics,34,"Computer Engineering, BS"
CS 419,Production Computer Graphics,34,"Computer Engineering, BS"
CS 420,Parallel Progrmg: Sci & Engrg,34,"Computer Engineering, BS"
CS 421,Programming Languages & Compilers,34,"Computer Engineering, BS"
CS 423,Operating Systems Design,34,"Computer Engineering, BS"
CS 424,Real-Time Systems,34,"Computer Engineering, BS"
CS 425,Distributed Systems,34,"Computer Engineering, BS"
CS 426,Compiler Construction,34,"Computer Engineering, BS"
CS 431,Embedded Systems,34,"Computer Engineering, BS"
CS 434,Real World Algorithms for IoT and Data Science,34,"Computer Engineering, BS"
CS 436,Computer Networking Laboratory,34,"Computer Engineering, BS"
CS 437,Topics in Internet of Things,34,"Computer Engineering, BS"
CS 438,Communication Networks,34,"Computer Engineering, BS"
CS 440,Artificial Intelligence,34,"Computer Engineering, BS"
CS 441,Applied Machine Learning,34,"Computer Engineering, BS"
CS 444,Deep Learning for Computer Vision,34,"Computer Engineering, BS"
CS 446,Machine Learning,34,"Computer Engineering, BS"
CS 450,Numerical Analysis,34,"Computer Engineering, BS"
CS 461,Computer Security I,4,"Computer Engineering, BS"
CS 475,Formal Models of Computation,34,"Computer Engineering, BS"
CS 476,Program Verification,34,"Computer Engineering, BS"
CS 477,Formal Software Development Methods,34,"Computer Engineering, BS"
CS 483,Applied Parallel Programming,4,"Computer Engineering, BS"
ECE 408,Applied Parallel Programming,4,"Computer Engineering, BS"
ECE 411,Computer Organization & Design,4,"Computer Engineering, BS"
ECE 419,Security Laboratory,34,"Computer Engineering, BS"
ECE 422,Computer Security I,4,"Computer Engineering, BS"
ECE 424,Computer Security II,34,"Computer Engineering, BS"
ECE 425,Intro to VLSI System Design,3,"Computer Engineering, BS"
ECE 428,Distributed Systems,34,"Computer Engineering, BS"
ECE 435,Computer Networking Laboratory,34,"Computer Engineering, BS"
ECE 438,Communication Networks,34,"Computer Engineering, BS"
ECE 439,Wireless Networks,34,"Computer Engineering, BS"
ECE 448,Artificial Intelligence,34,"Computer Engineering, BS"
ECE 462,Logic Synthesis,3,"Computer Engineering, BS"
ECE 470,Introduction to Robotics,4,"Computer Engineering, BS"
ECE 478,Formal Software Development Methods,34,"Computer Engineering, BS"
ECE 479,IoT and Cognitive Computing,4,"Computer Engineering, BS"
ECE 484,Principles of Safe Autonomy,4,"Computer Engineering, BS"
ECE 491,Numerical Analysis,34,"Computer Engineering, BS"
ECE 492,Parallel Progrmg: Sci & Engrg,34,"Computer Engineering, BS"
ECE 411,Computer Organization & Design,4,"Computer Engineering, BS"
ECE 445,Senior Design Project Lab,4,"Computer Engineering, BS"
ECE 496& ECE 499,Senior Research Projectand Senior Thesis,4,"Computer Engineering, BS"
CS 124,Introduction to Computer Science I,3,"Computer Science + Advertising, BS"
CS 128,Introduction to Computer Science II,3,"Computer Science + Advertising, BS"
CS 173,Discrete Structures,3,"Computer Science + Advertising, BS"
CS 222,Software Design Lab,1,"Computer Science + Advertising, BS"
CS 225,Data Structures,4,"Computer Science + Advertising, BS"
CS 340,Introduction to Computer Systems,3,"Computer Science + Advertising, BS"
CS 374,Introduction to Algorithms & Models of Computation,4,"Computer Science + Advertising, BS"
CS 421,Programming Languages & Compilers,34,"Computer Science + Advertising, BS"
MATH 220,Calculus,5,"Computer Science + Advertising, BS"
MATH 231,Calculus II,3,"Computer Science + Advertising, BS"
MATH 225,Introductory Matrix Theory,23,"Computer Science + Advertising, BS"
CS 361,Probability & Statistics for Computer Science,3,"Computer Science + Advertising, BS"
ANTH 103,Anthro in a Changing World,,"Computer Science + Advertising, BS"
PSYC 100,Intro Psych,,"Computer Science + Advertising, BS"
SOC 100,Introduction to Sociology,,"Computer Science + Advertising, BS"
ECON 102,Microeconomic Principles,3,"Computer Science + Advertising, BS"
ECON 103,Macroeconomic Principles,3,"Computer Science + Advertising, BS"
BADM 320,Principles of Marketing,3,"Computer Science + Advertising, BS"
ADV 250,Advertising and Brand Strategy,3,"Computer Science + Advertising, BS"
ADV 281,Advertising Research Methods,3,"Computer Science + Advertising, BS"
ADV 284,Consumer Insight,3,"Computer Science + Advertising, BS"
ADV 360,Innovations in Advertising,3,"Computer Science + Advertising, BS"
ADV 390,Content Creation,3,"Computer Science + Advertising, BS"
ADV 461,Computational Advertising,3,"Computer Science + Advertising, BS"
ADV 492,Tech and Advertising Campaigns,3,"Computer Science + Advertising, BS"
RHET 105& CMN 101,Writing and Researchand Public Speaking,,"Computer Science + Animal Sciences, BS"
CMN 111& CMN 112,Oral & Written Comm Iand Oral & Written Comm II,,"Computer Science + Animal Sciences, BS"
CHEM 102& CHEM 103,General Chemistry Iand General Chemistry Lab I,,"Computer Science + Animal Sciences, BS"
CHEM 104& CHEM 105,General Chemistry IIand General Chemistry Lab II,,"Computer Science + Animal Sciences, BS"
ECON 102,Microeconomic Principles,,"Computer Science + Animal Sciences, BS"
CS 361,Probability & Statistics for Computer Science,,"Computer Science + Animal Sciences, BS"
MATH 220,Calculus,,"Computer Science + Animal Sciences, BS"
MATH 225,Introductory Matrix Theory,,"Computer Science + Animal Sciences, BS"
MATH 231,Calculus II,,"Computer Science + Animal Sciences, BS"
CS 100,Computer Science Orientation,,"Computer Science + Animal Sciences, BS"
CS 124,Introduction to Computer Science I,,"Computer Science + Animal Sciences, BS"
CS 128,Introduction to Computer Science II,,"Computer Science + Animal Sciences, BS"
CS 173,Discrete Structures,,"Computer Science + Animal Sciences, BS"
CS 225,Data Structures,,"Computer Science + Animal Sciences, BS"
CS 222,Software Design Lab,,"Computer Science + Animal Sciences, BS"
CS 374,Introduction to Algorithms & Models of Computation,,"Computer Science + Animal Sciences, BS"
CS 357,Numerical Methods I,,"Computer Science + Animal Sciences, BS"
CS 233& CS 241,Computer Architectureand,,"Computer Science + Animal Sciences, BS"
& Two 400-level CS courses,Any two (2) 400-level CS courses above CS 403 except CS 421 and CS 491,,"Computer Science + Animal Sciences, BS"
ANSC 100,Intro to Animal Sciences,,"Computer Science + Animal Sciences, BS"
ANSC 221,"Cells, Metabolism and Genetics",,"Computer Science + Animal Sciences, BS"
ANSC 222,Anatomy and Physiology,,"Computer Science + Animal Sciences, BS"
ANSC 223,Animal Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 224,Animal Reproduction and Growth,,"Computer Science + Animal Sciences, BS"
ANSC 398,UG Experiential Learning,,"Computer Science + Animal Sciences, BS"
ANSC 498,Integrating Animal Sciences,,"Computer Science + Animal Sciences, BS"
ANSC 201,Principles of Dairy Production,,"Computer Science + Animal Sciences, BS"
ANSC 204,Intro Dairy Cattle Evaluation,,"Computer Science + Animal Sciences, BS"
ANSC 205,World Animal Resources,,"Computer Science + Animal Sciences, BS"
ANSC 206,Horse Management,,"Computer Science + Animal Sciences, BS"
ANSC 211,Breeding Animal Evaluation,,"Computer Science + Animal Sciences, BS"
ANSC 250,Companion Animals in Society,,"Computer Science + Animal Sciences, BS"
ANSC 301,"Food Animal Production, Management, and Evaluation",,"Computer Science + Animal Sciences, BS"
ANSC 305,Human Animal Interactions,,"Computer Science + Animal Sciences, BS"
ANSC 307,Companion Animal Management,,"Computer Science + Animal Sciences, BS"
ANSC 309,Meat Production and Marketing,,"Computer Science + Animal Sciences, BS"
ANSC 310,Meat Selection and Grading,,"Computer Science + Animal Sciences, BS"
ANSC 312,Advanced Livestock Evaluation,,"Computer Science + Animal Sciences, BS"
ANSC 313,Horse Appraisal,,"Computer Science + Animal Sciences, BS"
ANSC 314,Adv Dairy Cattle Evaluation,,"Computer Science + Animal Sciences, BS"
ANSC 322,Livestock Feeds and Feeding,,"Computer Science + Animal Sciences, BS"
ANSC 370,Companion Animal Policy,,"Computer Science + Animal Sciences, BS"
ANSC 400,Dairy Herd Management,,"Computer Science + Animal Sciences, BS"
ANSC 401,Beef Production,,"Computer Science + Animal Sciences, BS"
ANSC 402,Sheep and Goat Production,,"Computer Science + Animal Sciences, BS"
ANSC 403,Pork Production,,"Computer Science + Animal Sciences, BS"
ANSC 404,Poultry Science,,"Computer Science + Animal Sciences, BS"
ANSC 407,Animal Shelter Management,,"Computer Science + Animal Sciences, BS"
ANSC 424,Pet Food & Feed Manufacturing,,"Computer Science + Animal Sciences, BS"
ANSC 435,Milk Quality and Udder Health,,"Computer Science + Animal Sciences, BS"
ANSC 471,ANSC Leaders & Entrepreneurs,,"Computer Science + Animal Sciences, BS"
ANSC 251,Epidemics and Infectious Diseases,,"Computer Science + Animal Sciences, BS"
ANSC 306,Equine Science,,"Computer Science + Animal Sciences, BS"
ANSC 350,Cellular Metabolism in Animals,,"Computer Science + Animal Sciences, BS"
ANSC 363,Behavior of Domestic Animals,,"Computer Science + Animal Sciences, BS"
ANSC 366,Animal Behavior,,"Computer Science + Animal Sciences, BS"
ANSC 406,Zoo Animal Conservation Sci,,"Computer Science + Animal Sciences, BS"
ANSC 409,Meat Science,,"Computer Science + Animal Sciences, BS"
ANSC 420,Ruminant Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 421,Minerals and Vitamins,,"Computer Science + Animal Sciences, BS"
ANSC 422,Companion Animal Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 431,Advanced Reproductive Biology,,"Computer Science + Animal Sciences, BS"
ANSC 438,Lactation Biology,,"Computer Science + Animal Sciences, BS"
ANSC 440,Applied Statistical Methods I,,"Computer Science + Animal Sciences, BS"
ANSC 441,Human Genetics,,"Computer Science + Animal Sciences, BS"
ANSC 444,Applied Animal Genetics,,"Computer Science + Animal Sciences, BS"
ANSC 445,Statistical Methods,,"Computer Science + Animal Sciences, BS"
ANSC 446,Population Genetics,,"Computer Science + Animal Sciences, BS"
ANSC 449,Biological Modeling,,"Computer Science + Animal Sciences, BS"
ANSC 450,Comparative Immunobiology,,"Computer Science + Animal Sciences, BS"
ANSC 451,Microbes and the Anim Indust,,"Computer Science + Animal Sciences, BS"
ANSC 452,Animal Growth and Development,,"Computer Science + Animal Sciences, BS"
ANSC 467,Applied Animal Ecology,,"Computer Science + Animal Sciences, BS"
ANSC 509,Muscle Biology,,"Computer Science + Animal Sciences, BS"
ANSC 520,Protein and Energy Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 521,Regulation of Metabolism,,"Computer Science + Animal Sciences, BS"
ANSC 522,Advanced Ruminant Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 523,Techniques in Animal Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 524,Nonruminant Nutrition Concepts,,"Computer Science + Animal Sciences, BS"
ANSC 525,Topics in Nutrition Research,,"Computer Science + Animal Sciences, BS"
ANSC 526,Adv Companion Animal Nutrition,,"Computer Science + Animal Sciences, BS"
ANSC 533,Repro Physiology Lab Methods,,"Computer Science + Animal Sciences, BS"
ANSC 541,Regression Analysis,,"Computer Science + Animal Sciences, BS"
ANSC 542,Applied Bioinformatics,,"Computer Science + Animal Sciences, BS"
ANSC 543,Bioinformatics,,"Computer Science + Animal Sciences, BS"
ANSC 545,Statistical Genomics,,"Computer Science + Animal Sciences, BS"
CS 100,"Computer Science Orientation (recommended; CS 100 is an orientation course aimed at first-year students, so students who declare the major after the freshman year are not required to complete it.)",1,"Computer Science + Astronomy, BSLAS"
CS 124,Introduction to Computer Science I,3,"Computer Science + Astronomy, BSLAS"
CS 128,Introduction to Computer Science II,3,"Computer Science + Astronomy, BSLAS"
CS 173,Discrete Structures,3,"Computer Science + Astronomy, BSLAS"
CS 225,Data Structures,4,"Computer Science + Astronomy, BSLAS"
CS 222,Software Design Lab,1,"Computer Science + Astronomy, BSLAS"
CS 233& CS 341,Computer Architectureand System Programming,,"Computer Science + Astronomy, BSLAS"
CS 340,Introduction to Computer Systems,,"Computer Science + Astronomy, BSLAS"
STAT 200,Statistical Analysis,,"Computer Science + Astronomy, BSLAS"
STAT 212,Biostatistics,,"Computer Science + Astronomy, BSLAS"
CS 361,Probability & Statistics for Computer Science,,"Computer Science + Astronomy, BSLAS"
CS 374,Introduction to Algorithms & Models of Computation,4,"Computer Science + Astronomy, BSLAS"
CS 421,Programming Languages & Compilers,3,"Computer Science + Astronomy, BSLAS"
MATH 221,Calculus I,45,"Computer Science + Astronomy, BSLAS"
MATH 225,Introductory Matrix Theory,23,"Computer Science + Astronomy, BSLAS"
MATH 231,Calculus II,3,"Computer Science + Astronomy, BSLAS"
PHYS 211,University Physics: Mechanics,4,"Computer Science + Astronomy, BSLAS"
PHYS 212,University Physics: Elec & Mag,4,"Computer Science + Astronomy, BSLAS"
MATH 241,Calculus III,4,"Computer Science + Astronomy, BSLAS"
ASTR 210,Introduction to Astrophysics,3,"Computer Science + Astronomy, BSLAS"
ASTR 310,Computing in Astronomy,3,"Computer Science + Astronomy, BSLAS"
ASTR 404,Stellar Astrophysics,,"Computer Science + Astronomy, BSLAS"
ASTR 405,Planetary Systems,,"Computer Science + Astronomy, BSLAS"
ASTR 406,Galaxies and the Universe,,"Computer Science + Astronomy, BSLAS"
ASTR 414,Astronomical Techniques,,"Computer Science + Astronomy, BSLAS"
ENG 100,Grainger Engineering Orientation Seminar (External transfer students take ENG 300.),1,"Computer Science + Bioengineering, BS"
BIOE 100,Bioengineering Seminar,1,"Computer Science + Bioengineering, BS"
BIOE 120,Introduction to Bioengineering,1,"Computer Science + Bioengineering, BS"
MATH 221,Calculus I (MATH 220 may be substituted.  MATH 220 is appropriate for students with no background in calculus.  4 of 5 credit hours count towards degree.),4,"Computer Science + Bioengineering, BS"
MATH 231,Calculus II,3,"Computer Science + Bioengineering, BS"
MATH 241,Calculus III,4,"Computer Science + Bioengineering, BS"
MATH 257,Linear Algebra with Computational Applications,3,"Computer Science + Bioengineering, BS"
MATH 285,Intro Differential Equations,3,"Computer Science + Bioengineering, BS"
PHYS 211,University Physics: Mechanics,4,"Computer Science + Bioengineering, BS"
PHYS 212,University Physics: Elec & Mag,4,"Computer Science + Bioengineering, BS"
CHEM 102& CHEM 103,General Chemistry Iand General Chemistry Lab I,,"Computer Science + Bioengineering, BS"
MCB 150,Molec & Cellular Basis of Life,,"Computer Science + Bioengineering, BS"
BIOE 310,Computational Tools for Biological Data,3,"Computer Science + Bioengineering, BS"
CS 124,Introduction to Computer Science I,3,"Computer Science + Bioengineering, BS"
CS 128,Introduction to Computer Science II,3,"Computer Science + Bioengineering, BS"
CS 173,Discrete Structures,3,"Computer Science + Bioengineering, BS"
CS 222,Software Design Lab,1,"Computer Science + Bioengineering, BS"
CS 225,Data Structures,4,"Computer Science + Bioengineering, BS"
CS 233& CS 341,Computer Architectureand System Programming,,"Computer Science + Bioengineering, BS"
CS 340,Introduction to Computer Systems,,"Computer Science + Bioengineering, BS"
& Two CS 400-level courses,"Any two (2) 400-level CS courses above CS 403,            excluding CS 491 and distinct from any 400-level            courses taken to satisfy other requirements.  If either or both of the courses are chosen for 4 credits, the extra credit hours will count towards free electives.",,"Computer Science + Bioengineering, BS"
CS 374,Introduction to Algorithms & Models of Computation,4,"Computer Science + Bioengineering, BS"
